layer,auroc
0,0.4476744186046511
1,0.43106312292358806
2,0.4426910299003322
3,0.4102990033222591
4,0.36544850498338866
5,0.37209302325581395
6,0.3480066445182724
7,0.33305647840531566
8,0.31893687707641194
9,0.308139534883721
10,0.33637873754152825
11,0.3820598006644518
12,0.38953488372093026
13,0.3903654485049834
14,0.3978405315614618
15,0.42192691029900337
16,0.4127906976744186
17,0.4269102990033222
18,0.4568106312292359
19,0.457641196013289
20,0.47508305647840526
21,0.47425249169435224
22,0.4800664451827243
23,0.5049833887043189
24,0.5224252491694352
25,0.5166112956810631
26,0.5431893687707642
27,0.5132890365448504
28,0.5157807308970099
29,0.4775747508305648
30,0.4418604651162791
31,0.4692691029900332
32,0.473421926910299
33,0.4684385382059801
34,0.4750830564784053
35,0.4966777408637874
36,0.49584717607973416
37,0.5099667774086378
38,0.5224252491694352
39,0.526578073089701
40,0.5174418604651163
41,0.5348837209302326
42,0.573920265780731
43,0.5722591362126246
44,0.6154485049833887
45,0.5880398671096345
46,0.5971760797342193
47,0.595514950166113
48,0.5556478405315615
49,0.4875415282392027
50,0.4476744186046512
51,0.40199335548172754
52,0.3787375415282392
53,0.37292358803986714
54,0.3637873754152824
55,0.3654485049833887
56,0.3712624584717608
57,0.3280730897009967
58,0.30398671096345514
59,0.292358803986711
60,0.3081395348837209
61,0.308139534883721
62,0.32641196013289037
63,0.43936877076411956
