bin,rel_pos_mid,n,auroc,ci_low,ci_high,signal,majority_baseline
0,0.1,264,0.3386551465063862,0.24668788259910726,0.4417289110126496,True,0.9166666666666666
1,0.3,225,0.26489533011272137,0.1849112349654048,0.3845680622372529,True,0.92
2,0.5,253,0.36654064272211717,0.18242629202805993,0.5346725495323511,False,0.9090909090909091
3,0.7,199,0.456989247311828,0.28253360413603357,0.6223870433094201,False,0.9346733668341709
4,0.9,290,0.49204337417265176,0.34964975930896225,0.6440504528808456,False,0.906896551724138
