bin,rel_pos_mid,between_class_gap,within_class_std,separation_to_noise,n_succ,n_fail
0,0.1,0.00699337425911499,0.016657278529780176,0.4198389458765496,27,263
1,0.3,0.01136891812014118,0.015476317452256267,0.734600989881073,18,207
2,0.5,0.008353168914240136,0.013776823638598895,0.6063203778581326,18,209
3,0.7,0.001428789274704051,0.013900550177035393,0.10278652690053255,18,207
4,0.9,0.00030217104214283474,0.013429703022158521,0.022500202844713955,22,242
